Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-20T07:43:02,67800,3133,58382,30.9756,112.2707
,Italy,2020-03-20T17:43:03,47021,4032,4440,41.8719,12.5674
,Spain,2020-03-20T17:43:03,20410,1043,1588,40.4637,-3.7492
,Germany,2020-03-20T20:13:15,19848,67,180,51.1657,10.4515
,Iran,2020-03-20T15:13:21,19644,1433,6745,32.4279,53.6880
France,France,2020-03-20T22:43:03,12612,450,12,46.2276,2.2137
,"Korea, South",2020-03-20T02:13:46,8652,94,1540,35.9078,127.7669
New York,US,2020-03-20T22:14:43,8310,42,0,42.1657,-74.9481
,Switzerland,2020-03-20T18:13:09,5294,54,15,46.8182,8.2275
United Kingdom,United Kingdom,2020-03-20T20:13:18,3983,177,65,55.3781,-3.4360
Netherlands,Netherlands,2020-03-20T18:13:12,2994,106,2,52.1326,5.2913
,Austria,2020-03-20T15:43:24,2388,6,9,47.5162,14.5501
,Belgium,2020-03-20T14:43:04,2257,37,1,50.5039,4.4699
,Norway,2020-03-20T18:13:09,1914,7,1,60.4720,8.4689
,Sweden,2020-03-20T15:43:24,1639,16,16,60.1282,18.6435
Washington,US,2020-03-20T23:43:03,1524,83,0,47.4009,-121.4905
Guangdong,China,2020-03-20T09:13:30,1395,8,1323,23.3417,113.4244
Henan,China,2020-03-14T09:53:08,1273,22,1250,33.8820,113.6140
Denmark,Denmark,2020-03-20T18:13:12,1255,9,1,56.2639,9.5018
Zhejiang,China,2020-03-20T02:43:09,1234,1,1219,29.1832,120.0934
California,US,2020-03-20T23:43:03,1177,23,0,36.1162,-119.6816
,Malaysia,2020-03-20T18:13:09,1030,3,87,4.2105,101.9758
,Portugal,2020-03-20T15:43:24,1020,6,5,39.3999,-8.2245
